Start Time,Duration,Run ID,Name,cos_lr,epochs,label_smoothing,lr0,optimizer,warmup_momentum,metrics/mAP50-95B,metrics/mAP50B,metrics/precisionB,metrics/recallB,val/box_loss,val/cls_loss,val/dfl_loss
5260772,1.3h,3204a397adf8409c8f7c026510c02171,train83,True,9,0.3118370000000000,0.009272000000000001,SGD,0.8783650000000000,0.23125200000000001,0.33040799999999998,0.6456310000000000,0.3125180000000000,1.16832,1.22249,0.88886
5260772,1.5h,2646e2fc489742548ad916852b21e146,train82,True,10,0.22706899999999999,0.00854400000000000,SGD,0.8607170000000000,0.2281160000000000,0.32395299999999999,0.6290380000000000,0.3198660000000000,1.16456,1.2185,0.88171
5260772,1.4h,9b1e39ef321b494d81cf92b9a9ac1709,train81,True,9,0.2801780000000000,0.009152000000000000,SGD,0.8155640000000000,0.23330200000000001,0.33359400000000000,0.6058820000000000,0.33353200000000000,1.16143,1.24093,0.88387
5260772,1.4h,e6fe3f3d816d41b4aa02a0464103071a,train80,True,9,0.31161800000000001,0.00925500000000000,SGD,0.8722980000000000,0.22722000000000001,0.32225700000000002,0.6217140000000000,0.3344560000000000,1.15931,1.23,0.88308
5260772,1.5h,334461ff21014de4a0e6d6cbe58cb99c,train79,False,10,0.2713440000000000,0.009701000000000000,SGD,0.9274150000000000,0.22300200000000001,0.3199720000000000,0.5455400000000000,0.32445499999999999,1.18489,1.19718,0.89582
5260772,1.1h,c84dedd3055a4131a5ce4650afe460ea,train78,True,7,0.3344170000000000,0.008855999999999999,auto,0.7487670000000000,0.1219350000000000,0.17713899999999999,0.49600400000000000,0.19277700000000000,1.23173,1.72721,0.87337
5260772,1.4h,a96e41f985454c93b95f958c8e0b2c67,train77,True,9,0.30495899999999998,0.00813300000000000,RMSProp,0.9738310000000000,0.0007110000000000000,0.00241700000000000,0.0028820000000000000,0.009117999999999999,4.18851,4.1207,2.83682
5260772,1.2h,adea2d4d82074d91b06f022f2661bfa3,train76,False,8,0.24205299999999999,0.008489000000000000,SGD,0.9043860000000000,0.21968900000000000,0.31711400000000001,0.6314720000000000,0.315991000000000,1.16907,1.30156,0.88771
5260772,1.5h,a12358b22230436691ac6e6232273449,train75,True,10,0.3593580000000000,0.00984800000000000,AdamW,0.8639360000000000,0.22469900000000001,0.32030999999999998,0.654742000000000,0.27485399999999999,1.20002,1.01108,0.94065
5260772,1.5h,94ad6d9e10c941de88ecc7a357dab6d9,train74,True,10,0.2928590000000000,0.009124000000000000,SGD,0.8082190000000000,0.2197030000000000,0.3148890000000000,0.5341800000000000,0.3012020000000000,1.1722,1.22363,0.88687
5260772,1.5h,9fb11902836d400baf2b0168afc1e067,train73,True,10,0.259109000000000,0.00890700000000000,SGD,0.9006910000000000,0.22554600000000000,0.3198820000000000,0.6644220000000000,0.30864300000000000,1.16192,1.19409,0.88786
5250772,1.5h,5474ad8c6dd34758b2322a005706a862,train72,True,10,0.3040950000000000,0.009070000000000000,SGD,0.8969070000000000,0.22377000000000000,0.3192640000000000,0.5136070000000000,0.3335210000000000,1.16677,1.19238,0.88761
5250772,1.3h,4de0d7cb5bff4f1cbcce0248f5677fa1,train71,True,9,0.2707730000000000,0.00938400000000000,SGD,0.9406380000000000,0.23039100000000001,0.33171400000000001,0.646232000000000,0.30738799999999999,1.16738,1.19321,0.88432
5250772,1.3h,997c4e24bf9941c3b52aa47e71323ec7,train70,True,9,0.31597399999999998,0.009591000000000001,SGD,0.9711970000000000,0.22297300000000000,0.3180400000000000,0.6335440000000000,0.3019580000000000,1.1623,1.18738,0.88496
5250772,1.2h,e6519850e3104c419a4a46f8b78bc32e,train69,True,8,0.23816899999999999,0.00725800000000000,Adam,0.7622220000000000,0.24037900000000001,0.342803000000000,0.6541010000000000,0.3108520000000000,1.18949,1.02814,0.93179
5250772,1.3h,225ab1871f294d2190b383b47fd88673,train68,False,9,0.34384799999999999,0.008151000000000000,AdamW,0.8400290000000000,0.23269899999999999,0.3445040000000000,0.625033000000000,0.3202310000000000,1.25688,1.05341,0.96694
5250772,1.5h,219e58f28b0b4167bd78e95cac0f0a2a,train67,True,10,0.388786000000000,0.00868100000000000,SGD,0.783954000000000,0.21611700000000000,0.3087640000000000,0.6119970000000000,0.31240600000000002,1.1643,1.25171,0.87988
5250772,1.2h,18d0745cbf814ed4907017ef7baee0ed,train66,True,8,0.2890010000000000,0.00914400000000000,AdamW,0.8870620000000000,0.2333790000000000,0.3345120000000000,0.601793000000000,0.31259100000000001,1.20443,1.05812,0.93802
5250772,1.3h,a3e27176bc184050b463b4904b02c602,train65,False,9,0.3692010000000000,0.007974999999999999,SGD,0.999616000000000,0.17149800000000001,0.24674399999999999,0.6187920000000000,0.2540420000000000,1.21162,1.30332,0.90337
5250772,1.5h,f567fe63d90645fba8a95b692edddd21,train64,True,10,0.2560740000000000,0.008319999999999999,Adam,0.9167050000000000,0.22319700000000001,0.32164300000000001,0.5896260000000000,0.3185280000000000,1.19655,1.01496,0.93536
5250772,1.2h,6e09450c7ebb49e79411490a3fbb4cf6,train63,True,8,0.27818799999999999,0.008803999999999999,SGD,0.8646350000000000,0.21823699999999999,0.31389000000000000,0.5851769999999999,0.32230900000000001,1.16854,1.28408,0.88594
5250772,1.3h,06781044693f460986495c083003310a,train62,True,9,0.2862940000000000,0.009169000000000000,SGD,0.9164690000000000,0.23997199999999999,0.3401920000000000,0.6096080000000000,0.338984000000000,1.15536,1.21349,0.88667
5250772,1.4h,28dc78bd146c431d90b40e5395d1b787,train61,True,10,0.3052660000000000,0.009993999999999999,SGD,0.9549950000000000,0.21928000000000000,0.31162099999999998,0.5787160000000000,0.31703599999999998,1.16712,1.1441,0.88818
5250772,1.3h,457b560aa0984a8685e8cf5ba69705e2,train60,True,9,0.320733000000000,0.009495999999999999,SGD,0.9604980000000000,0.22794100000000000,0.32787200000000000,0.6694329999999999,0.31073299999999998,1.15788,1.17806,0.8864
5250772,55.0min,e391648f9c5144d999df06b48de25298,train59,True,6,0.22948900000000000,0.007607000000000000,auto,0.9092230000000000,0.10078900000000000,0.14776800000000001,0.48951600000000001,0.16967099999999999,1.26181,1.88774,0.87908
5250772,9.7min,5b6d51b3e79c4b43b93d4f406aa44bd3,train58,False,1,0.338357000000000,0.009634999999999999,AdamW,0.8353180000000000,0.042514999999999997,0.07325800000000000,0.24776200000000001,0.11150200000000000,1.67873,4.6568,1.17318
5250772,1h,8178d9d1993940b784ea91c811013fdf,train57,True,7,0.16501299999999999,0.004954000000000000,SGD,0.7987200000000000,0.16807000000000000,0.24064700000000000,0.5929110000000000,0.26469700000000002,1.19031,1.51163,0.88099
5250772,1.2h,7d356f810e0e4246b046cc1db93fcf4b,train56,True,8,0.27116299999999999,0.006588000000000000,AdamW,0.7266370000000000,0.24078200000000000,0.34319200000000000,0.6380760000000000,0.31960499999999997,1.1753,1.02789,0.92267
5250772,1.5h,927764e33381454b9e4d3c9ff22b0cdc,train55,True,10,0.20493400000000001,0.008869999999999999,RMSProp,0.8641790000000000,0.030144000000000001,0.05718800000000000,0.5021650000000000,0.08049900000000000,1.89053,2.318,1.17697
5250772,28.0min,a7eef682962e4fc8885f25b0076ca026,train54,True,3,0.29992900000000000,0.009441000000000000,SGD,0.9975190000000000,0.06904600000000000,0.10824100000000000,0.5661540000000000,0.10726900000000000,1.37273,1.9972,0.9307
5240772,1.3h,f3a92b89e91349f3851b87bd9c0296de,train53,True,9,0.34658400000000000,0.007979999999999999,auto,0.9562000000000000,0.14795800000000001,0.21091399999999999,0.5346480000000000,0.22028600000000001,1.2092,1.57868,0.87123
